COUNTRY,INDICATOR,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Tonga,"Population, Persons for countries / Index for country groups",0.092,0.093,0.093,0.094,0.095,0.095,0.094,0.094,0.095,0.095,0.096,0.096,0.097,0.097,0.097,0.097,0.098,0.098,0.098,0.099,0.099,0.1,0.1,0.1,0.101,0.101,0.102,0.102,0.102,0.103,0.103,0.103,0.103,0.102,0.102,0.101,0.101,0.101,0.1,0.1,0.1,0.1,0.1,0.1,0.099,0.099,0.099,0.099,0.098,0.098,0.098
Slovak Republic,"Gross domestic product (GDP), Constant prices, Domestic currency",,,,,,,,,,,,,,35.385,37.581,40.539,43.353,45.28,47.012,46.79,47.159,48.538,50.682,53.144,56.008,59.64,64.963,71.992,75.853,71.677,76.544,78.506,79.738,80.298,82.473,86.742,88.432,90.974,94.669,96.824,94.321,99.697,100.133,102.304,104.413,105.363,107.107,109.782,112.569,115.002,117.371
Montenegro,"Population, Persons for countries / Index for country groups",,,,,,,,,,,,,,,,,,,,,0.605,0.607,0.61,0.612,0.613,0.614,0.615,0.616,0.617,0.618,0.619,0.62,0.621,0.623,0.624,0.625,0.625,0.626,0.626,0.627,0.627,0.625,0.624,0.624,0.624,0.624,0.624,0.625,0.625,0.625,0.626
"Serbia, Republic of","Population, Persons for countries / Index for country groups",,,,,,,,,,,,,,,,,,,,7.54,7.516,7.503,7.5,7.481,7.463,7.441,7.412,7.382,7.35,7.321,7.291,7.237,7.201,7.167,7.132,7.095,7.058,7.021,6.983,6.945,6.899,6.834,6.664,6.623,6.576,6.53,6.483,6.437,6.389,6.342,6.294
United Kingdom,"Current account balance (credit less debit), Percent of GDP",0.694,1.693,0.734,0.408,-0.284,-0.061,-0.736,-1.329,-3.288,-3.815,-2.829,-1.09,-1.284,-1.052,-0.187,-0.381,-0.264,-0.14,-0.282,-2.115,-1.831,-1.773,-1.973,-1.823,-2.302,-1.998,-3.12,-3.729,-3.862,-3.068,-2.761,-1.63,-3.146,-4.644,-5.022,-4.948,-5.448,-3.493,-3.927,-2.688,-2.934,-0.437,-2.102,-3.509,-2.656,-3.091,-2.961,-2.598,-2.451,-2.369,-2.205
G7,"Financial account balance (assets less liabilities), US dollar",-18.754,8.644,23.46,-0.722,-29.208,-41.686,0.454,-92.062,-63.801,-14.352,-92.094,-79.441,-69.922,-28.306,-79.866,6.756,-48.167,-76.466,33.036,-148.16,-379.39,-314.273,-444.127,-482.085,-280.395,-552.184,-678.352,-336.385,-630.749,-132.903,-364.511,-486.313,-401.644,-290.526,-53.704,-134.344,32.2,-8.02,61.029,-179.675,-459.351,-384.042,-802.029,-818.921,-730.019,-934.217,-859.874,-870.969,-907.871,-953.214,-916.378
United States,"Population, Persons for countries / Index for country groups",227.622,229.916,232.128,234.246,236.307,238.416,240.593,242.751,244.968,247.286,250.047,253.392,256.777,260.146,263.325,266.458,269.581,272.822,276.022,279.195,282.296,285.216,288.019,290.733,293.389,296.115,298.93,301.903,304.718,307.374,309.737,311.944,314.167,316.331,318.619,320.926,323.221,325.28,327.023,328.547,331.307,332.453,334.273,337.014,340.102,341.698,342.594,344.099,345.606,347.236,348.955
G7,"Net lending (+) / net borrowing (-), General government, Percent of GDP",,,,,,,,,,,,,,,,,,,,,,-2.002,-4.133,-4.715,-3.961,-3.252,-2.207,-2.231,-4.499,-9.825,-8.787,-7.359,-6.444,-4.336,-3.61,-3.016,-3.323,-3.355,-3.364,-3.801,-11.716,-8.871,-3.716,-6.135,-6.188,-5.618,-5.994,-6.117,-6.209,-5.989,-5.947
G7,"Gross domestic product (GDP), Price deflator, Index",48.48,52.674,56.429,59.293,61.732,63.973,65.949,67.67,69.907,72.629,75.527,79.508,81.713,83.6,85.074,86.768,88.162,89.201,90.035,90.804,91.983,93.471,94.706,96.165,98.01,100,102.017,104.136,105.903,106.549,107.383,108.889,110.334,111.836,113.607,114.845,115.967,117.56,119.594,121.41,123.545,127.412,134.536,140.508,144.283,147.793,150.584,153.365,156.157,159.115,162.296
United States,"Expenditure, General government, Percent of GDP",,,,,,,,,,,,,,,,,,,,,,32.801,33.698,34.037,33.719,33.928,33.692,34.562,37.144,41.399,39.763,38.796,37.223,35.782,35.324,35.031,35.333,35.194,35.349,35.819,44.722,43.201,36.79,37.65,37.918,37.785,37.929,38.036,38.118,37.996,38.204
Austria,"Current account balance (credit less debit), Percent of GDP",-4.802,-4.362,1.009,0.391,-0.267,-0.232,0.211,-0.217,-0.182,0.187,0.703,0.035,-0.387,-0.535,-1.475,-2.876,-2.854,-2.559,-1.863,-2.27,-0.71,-0.8,2.118,1.557,2.092,2.274,3.318,3.826,4.52,2.613,2.873,1.641,1.492,1.748,2.397,1.577,2.574,1.264,0.846,2.376,3.367,1.735,-0.862,1.341,2.409,1.793,2.157,2.225,2.42,2.608,2.63
United States,"Net debt, General government, Domestic currency",,,,,,,,,,,,,,,,,,,,,,3645.179,4008.2,4446.831,5787.847,5991.418,6132.015,6375.362,7425.784,8884.162,10215.416,11578.792,12713.853,13353.564,14045.283,14651.041,15245.204,15538.953,16518.331,17587.551,20547.574,22750.765,23964.929,26274.591,28535.496,30503.283,32768.612,35184.744,37762.22,40335.139,42999.472
G7,"Revenue, General government, Percent of GDP",,,,,,,,,,,,,,,,,,,,,,35.06,33.705,33.787,34.143,34.93,35.7,36.101,35.681,34.277,34.115,34.757,34.854,36.311,36.507,36.286,35.985,35.785,35.803,35.555,36.036,37.042,37.562,35.399,35.516,36.1,35.981,35.937,35.897,36.053,36.233
G7,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",11153.254,12413.026,13091.005,13979.237,15122.508,16101.742,16836.965,17757.125,19122.728,20483.357,21648.668,22455.439,23272.718,23909.137,24995.315,25993.028,27035.846,28210.692,29166.417,30341.079,32012.711,32943.335,33630.978,34726.672,36472.609,38345.667,40325.131,42029.071,42567.707,41016.02,42497.151,43855.197,45061.855,46321.933,47809.329,49053.761,50050.48,51951.35,54013.465,56403.999,55308.052,60753.46,66531.885,69803.757,72267.969,74854.234,77275.661,79696.457,82132.057,84621.331,87199.044
G7,"Current account balance (credit less debit), Percent of GDP",-0.676,-0.255,-0.132,-0.231,-0.736,-0.752,-0.356,-0.56,-0.369,-0.428,-0.468,-0.15,-0.166,0.1,-0.082,-0.045,-0.054,0.069,-0.276,-0.762,-1.361,-1.376,-1.408,-1.481,-1.296,-1.706,-1.86,-1.339,-1.607,-0.633,-0.674,-0.75,-0.877,-0.621,-0.633,-0.512,-0.123,0.09,-0.103,0.039,-0.738,-0.74,-1.992,-1.434,-1.629,-1.757,-1.572,-1.534,-1.541,-1.562,-1.448
United Kingdom,"Current account balance (credit less debit), US dollar",4.196,9.963,4.106,2.174,-1.434,-0.328,-4.823,-10.818,-32.544,-38.439,-33.86,-13.604,-16.559,-12.155,-2.323,-5.12,-3.753,-2.178,-4.661,-35.7,-30.557,-29.263,-35.297,-37.489,-55.765,-50.868,-84.629,-115.284,-114.329,-74.294,-68.681,-43.443,-85.168,-129.421,-153.981,-144.899,-147.036,-93.708,-112.902,-76.688,-79.182,-13.738,-65.683,-118.276,-96.81,-122.348,-125.142,-115.389,-114.562,-116.783,-114.67
United Kingdom,"Net debt, General government, Domestic currency",108.722,127.919,140.165,149.001,162.224,176.601,185.36,191.935,193.561,180.481,175.321,178.059,195.262,239.316,293.758,342.545,393.422,383.959,382.537,386.709,349.544,350.081,373.127,414.761,474.856,518.699,554.641,588.185,717.477,901.762,1106.159,1217.106,1302.932,1373.011,1469.532,1520.619,1569.936,1608.185,1647.894,1692.657,1958.839,2094.559,2268.998,2488.444,2670.922,2827.704,2970.328,3097.896,3220.98,3339.689,3451.881
G7,"Employed persons, Persons for countries / Index for country groups",80.33,80.651,80.164,80.651,82.313,83.413,84.669,86.043,87.625,89.302,90.576,90.538,90.592,90.813,91.624,92.361,93.086,94.277,95.127,96.041,97.556,97.897,97.768,98.165,98.88,100,101.441,102.653,102.869,100.55,100.207,100.804,101.767,102.507,103.698,104.895,106.466,107.713,109.231,110.348,106.556,108.671,111.425,113.011,113.612,114.344,114.558,,,,
United Kingdom,"Expenditure, General government, Domestic currency",101.489,120.114,130.607,140.959,152.256,163.485,171.12,181.298,190.642,207.522,235.05,253.342,276.44,290.989,304.114,320.559,325.017,332.649,344.14,353.703,373.546,397.252,428.22,468.267,503.098,537.664,565.48,597.06,652.702,691.209,719.097,723.276,746.373,745.321,767.062,774.726,789.332,815.393,836.626,865.939,1051.463,1045.648,1114.117,1215.406,1255.571,1306.497,1357.901,1401.044,1443.46,1487.325,1531.375
United Kingdom,"Gross domestic product (GDP), Constant prices, Per capita, Domestic currency",18811.646,18673.019,19062.639,19847.983,20255.261,21029.07,21632.859,22757.253,23933.586,24439.406,24507.285,24078.466,24076.357,24565.322,25337.89,25869.677,26474.211,27706.52,28570.398,29339.309,30508.1,31172.838,31597.362,32445.311,33069.224,33712.529,34280.205,34897.748,34526.575,32700.117,33164.611,33263.886,33543.223,33933.376,34751.258,35243.849,35626.752,36356.087,36647.209,37041.259,33086.478,35953.436,37375.407,37156.083,37043.444,37183.325,37360.998,37696.755,38053.176,38415.083,38789.129
United States,"Gross debt, General government, Percent of GDP",,,,,,,,,,,,,,,,,,,,,,53.485,55.859,58.956,66.439,65.778,64.531,64.948,73.845,87.07,95.644,100.02,103.659,105.003,104.93,105.424,107.38,106.374,107.625,108.751,132.513,125.009,119.104,119.836,122.322,125.05,128.749,132.693,136.643,140.133,143.394
United Kingdom,"Expenditure, General government, Percent of GDP",39.039,41.393,40.871,40.12,40.288,39.429,38.316,36.492,34.308,33.764,35.04,35.89,37.823,37.798,37.508,37.631,35.716,34.891,34.466,33.904,33.936,34.66,35.941,37.213,38.037,38.439,38.415,38.654,40.958,44.629,44.705,43.503,43.553,41.84,41.184,40.425,39.632,39.155,38.871,38.763,49.987,45.753,44.099,44.829,44.04,43.691,43.821,43.605,43.389,43.132,42.786
Advanced Economies,"Gross domestic product (GDP), Constant prices, Percent change",1.313,2.295,0.236,3.175,4.811,3.687,3.278,3.79,4.749,3.981,3.05,1.617,2.243,1.293,3.371,2.947,3.058,3.532,2.824,3.628,4.158,1.577,1.639,2.025,3.251,2.833,3.085,2.755,0.314,-3.365,3.107,1.764,1.152,1.492,2.107,2.393,1.826,2.595,2.286,1.87,-3.928,6.033,2.98,1.727,1.827,1.607,1.634,1.725,1.712,1.596,1.519
World,"Timber, Commodity price index",42.161,36.523,40.584,36.958,39.207,34.567,38.658,51.001,52.277,60.272,65.832,68.627,77.95,103.115,105.107,99.505,99.657,91.818,76.72,85.915,84.903,76.935,76.117,80.254,89.381,93.989,102.161,101.996,105.057,99.866,101.004,109.825,107.365,106.854,108.376,101.735,100,97.832,103.809,102.074,102.779,107.654,110.927,95.822,94.878,97.857,100.143,100.143,100.143,100.143,100.143
World,"APSP crude oil, Unit prices, US dollars per barrel",37.919,36.949,32.948,30.113,29.061,27.806,14.438,18.17,14.734,17.847,22.895,19.385,19.039,16.841,15.944,17.247,20.495,19.352,13.236,18.179,28.471,24.49,25.001,28.909,37.807,53.506,64.402,71.189,96.767,61.501,79.144,104.069,105.097,104.172,96.326,50.912,43.264,52.978,68.533,61.432,41.765,69.25,96.362,80.595,79.171,68.92,65.835,65.69,66.267,66.873,67.261
Advanced Economies,"Gross debt, General government, Percent of GDP",,,,,,,,,,,,,,,,,,,,,,70.273,71.312,73.425,76.799,76.269,73.547,71.231,77.935,91.158,97.515,101.453,105.725,104.187,103.694,103.292,105.633,103.23,102.746,103.814,122.16,115.62,109.327,108.513,109.053,110.248,111.807,113.603,115.458,117.037,118.502
World,"Sugar, No. 16, US, Import price, US cents per pound",30.032,19.73,19.924,22.039,21.74,20.353,20.952,21.832,22.121,22.805,23.253,21.553,21.3,21.612,22.032,23.055,22.363,21.934,22.063,21.14,19.396,21.338,20.941,21.5,20.571,21.068,22.119,20.763,21.323,24.336,31.051,37.572,28.895,21.215,24.862,24.828,27.632,27.908,25.34,26.118,26.956,33.645,35.735,40.567,38.222,36.684,36.406,35.5,35.5,35.5,35.5
World,"Brent crude, Unit prices, US dollars per barrel",37.919,36.949,32.948,29.81,28.743,27.624,14.474,18.408,14.964,18.23,23.707,20.075,19.358,17.085,15.96,17.199,20.809,19.31,13.126,18.108,28.845,24.714,25.115,28.779,38.234,54.684,65.605,72.653,97.33,61.581,79.807,111.539,112.012,108.962,99.345,53.023,45.079,54.887,71.613,64.198,43.334,70.831,98.996,82.321,79.912,69.536,66.306,66.183,66.825,67.54,68.015
World,"Coal, South Africa, Export price, US dollars per metric tonne",,,,,,,,,,,32.875,31.5,28.833,26.958,28.563,35.229,33.518,31.349,26.839,24.273,26.57,33.864,26.011,30.076,54.684,45.953,50.583,62.315,120.741,64.559,91.658,116.173,92.924,80.324,72.303,57.097,64.419,84.486,97.925,71.265,65.223,125.247,271.097,120.554,105.368,91.39,96.392,100.217,100.296,100.296,100.271
World,"Energy, Commodity price index",,,,,,,,,,,,,47.937,44.907,42.343,45.622,54.306,51.019,37.296,45.868,73.621,66.356,62.519,77.435,98.085,135.578,153.202,168.027,232.557,142.772,178.527,231.512,228.121,225.88,212.321,118.982,100,123.301,156.535,129.285,91.705,183.089,299.511,189.505,179.504,165.402,159.226,157.855,156.642,156.017,155.718
Advanced Economies,"All Items, Consumer price index (CPI), Period average, percent change",13.627,11.115,8.405,6.072,6.482,5.471,2.902,3.177,3.56,4.747,4.928,4.744,3.569,3.214,2.672,2.642,2.503,2.096,1.575,1.399,2.256,2.184,1.574,1.856,2.031,2.333,2.363,2.194,3.449,0.189,1.552,2.707,2.006,1.382,1.352,0.306,0.747,1.707,1.959,1.399,0.681,3.1,7.311,4.625,2.622,2.458,2.166,2.095,2.075,2.08,2.074
Advanced Economies,"Exports of manufactures, Price deflator, Free on board (FOB), Index",68.294,71.55,68.904,68.579,69.108,67.949,71.891,79.881,88.553,90.554,92.213,95.88,95.305,94.994,96.289,100.346,101.741,97.805,93.453,92.44,92.626,89.484,87.727,90.235,96.117,100,102.164,105.555,111.916,109.862,112.14,117.226,120.048,116.593,115.957,112.403,106.769,106.908,109.082,109.515,106.043,113.15,124.858,122.714,124.252,124.936,124.791,124.908,125.454,126.454,128.015
World,"LNG, Asia, Unit prices, US dollars per million metric British thermal units of gas",,,,,,,,,,,,,3.744,3.598,3.285,3.557,3.903,3.761,2.754,3.343,5.235,4.669,4.427,4.981,5.891,7.033,8.049,8.411,11.591,7.491,9.381,15.553,18.145,17.339,16.998,10.958,7.439,7.247,9.795,5.445,4.366,18.6,33.297,13.464,11.709,12.389,11.123,10.567,9.891,9.35,8.808
Advanced Economies,"Portfolio investment, Net (assets minus liabilities), US dollar",,,,,,-20.667,-37.882,-53.468,-40.587,-15.059,-77.305,-151.564,-49.207,-217.741,22.136,-159.936,-193.747,-189.662,91.54,-183.331,-228.031,-18.03,-436.777,-462.657,-790.443,-735.665,-785.804,-1064.6,-1647.796,-555.116,-954.606,-1130.017,-282.863,-525.058,17.136,220.524,525.295,23.995,502.96,61.057,121.872,274.383,-763.063,-415.767,-352.834,-682.649,-393.171,-469.583,-544.2,-561.119,-653.987
World,"Tin, Unit prices, US dollars per metric tonne",16777.727,14168.909,12829.786,12987.6,12230.313,11539.038,6161.367,6689.834,7051.634,8534.434,6085.384,5595.962,6104.093,5167.547,5459.977,6197.362,6158.877,5640.48,5536.229,5391.394,5435.903,4489.436,4060.996,4889.586,8480.938,7385.248,8754.903,14495.443,18466.644,13599.285,20367.249,26051.45,21109.356,22281.583,21898.874,16066.632,17933.762,20061.169,20145.206,18661.157,17125.459,32387.289,31383.287,25912.246,30059.334,33265.164,34686.542,34686.542,34686.542,34686.542,34686.542
Advanced Economies,"Change in reserve assets, Net (assets minus liabilities), US dollar",-3.191,-3.471,1.615,14.265,17.342,19.115,49.844,122.446,38.323,30.288,55.198,-11.227,12.838,43.669,57.28,94.908,91.644,40.336,27.42,98.247,84.316,64.538,142.121,260.945,249.749,67.95,125.446,95.694,78.999,425.23,355.888,354.437,258.935,154.377,130.93,208.575,191.455,249.134,131.213,69.933,360.517,635.334,-210.791,-42.507,23.688,155.479,171.002,147.968,158.068,159.918,167.378
World,"Gross domestic product (GDP), Constant prices, Percent",1.674,2.263,0.612,2.87,4.816,3.701,3.178,3.777,4.483,3.829,3.142,2.022,2.56,1.718,3.434,2.947,3.378,3.532,2.367,3.201,4.272,1.724,1.918,2.797,4.04,3.568,3.95,3.82,1.586,-2.007,4.181,3.08,2.49,2.677,2.922,2.889,2.614,3.358,3.198,2.62,-3.02,6.445,3.339,2.912,2.829,2.637,2.572,2.661,2.625,2.525,2.437
Advanced Economies,"Structural balance, General government, Percent",,,,,,,,,,,,,,,,,,,,,,-2.294,-3.462,-3.8,-3.603,-2.847,-2.34,-2.676,-4.162,-5.924,-6.689,-5.632,-4.409,-3.153,-2.543,-2.179,-2.344,-2.392,-2.474,-3.156,-7.514,-6.679,-4.405,-5.002,-4.935,-4.914,-4.981,,,,
Advanced Economies,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",,,,,,,,,,,,,,,,,,,,,,0.591,-1.405,-2.05,-1.423,-0.66,0.283,0.435,-1.816,-6.99,-5.953,-4.401,-3.689,-2.089,-1.472,-1.085,-1.132,-1.007,-0.939,-1.547,-9.029,-5.936,-1.102,-3.014,-2.927,-2.446,-2.575,-2.514,-2.458,-2.155,-2.038
World,"Copper, Unit prices, US dollars per metric tonne",2185.146,1742.752,1481.688,1592.47,1376.969,1417.24,1369.804,1781.149,2599.798,2847.212,2661.344,2338.502,2284.812,1914.956,2305.532,2932.036,2293.386,2275.187,1653.707,1572.525,1814.524,1580.169,1560.29,1779.362,2863.469,3676.495,6731.352,7131.63,6963.482,5164.159,7538.362,8823.454,7958.925,7331.491,6863.397,5510.457,4867.897,6169.94,6529.798,6010.145,6174.558,9317.409,8828.917,8490.762,9142.102,9601.315,9934.446,10041.853,10122.02,10169.187,10183.52
World,"Orange, Import price, US dollars per metric tonne",0.901,1.283,1.246,1.181,1.701,1.423,1.026,1.371,1.755,1.538,1.667,1.283,1.23,1.019,1.008,1.078,1.165,0.771,1.058,0.898,0.794,0.805,0.944,0.804,0.678,0.99,1.625,1.569,1.065,0.921,1.449,1.759,1.396,1.344,1.479,1.276,1.683,1.538,1.493,1.055,1.142,1.232,1.751,3.009,4.317,3.019,2.848,2.848,2.848,2.848,2.848
World,"Vegetable oil, Commodity price index",69.429,66.63,55.874,64.365,74.5,58.071,45.907,49.356,68.208,60.59,55.235,54.87,56.03,60.074,67.754,71.56,76.786,75.876,70.821,52.765,47.951,46.508,55.776,67.123,77.926,72.695,72.695,97.095,135.146,102.638,113.263,142.574,143.143,132.139,118.861,95.706,100,101.16,95.446,90.543,99.518,151.435,171.893,140.289,128.225,126.668,130.915,130.874,131.211,131.211,131.211
Advanced Economies,"Direct investment, Net (assets minus liabilities), US dollar",7.835,4.641,2.229,10.689,11.593,23.362,28.224,26.185,48.908,66.296,64.389,74.819,76.05,71.216,102.906,109.025,122.138,130.837,153.5,148.034,-44.579,85.058,61.182,154.434,404.61,135.479,298.523,542.014,663.33,384.54,371.408,356.936,187.891,181.331,270.01,-62.105,-210.068,231.831,-117.005,1.007,48.7,678.852,484.822,324.882,436.596,268.374,333.056,337.223,333.826,333.445,325.196
Advanced Economies,"Output gap, Percent of potential GDP",-0.742,-0.954,-3.134,-2.664,-0.982,-0.44,-0.509,-0.106,1.058,1.807,1.736,0.422,-0.021,-1.359,-0.775,-0.821,-0.735,-0.016,-0.064,0.671,1.9,0.671,-0.241,-0.672,0.12,0.56,1.591,2.516,1.369,-3.31,-1.666,-1.405,-1.732,-1.989,-1.551,-1.27,-1.21,-0.504,0.036,0.188,-3.866,-0.573,0.443,0.142,0.075,-0.131,-0.16,,,,
World,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",,,,,,16.335,9.828,18.133,22.188,23.248,24.259,18.552,42.977,42.893,25.189,12.805,8.063,6.061,7.176,5.178,4.995,4.009,4.134,3.627,4.096,3.898,3.794,5.198,4.615,3.195,4.181,4.705,3.886,3.217,2.834,2.817,2.985,3.36,3.619,3.896,2.998,6.31,8.885,6.148,4.872,4.012,3.464,3.424,3.223,3.222,3.2
World,"Corn, Unit prices, US dollars per metric tonne",125.716,130.604,108.099,135.984,135.82,112.331,87.791,75.521,106.95,111.368,109.28,107.473,104.213,102.04,107.778,123.451,164.523,117.172,101.618,90.294,88.219,89.609,99.333,105.245,111.895,98.508,121.647,163.61,223.36,165.628,185.957,291.854,298.438,258.979,192.939,169.845,159.221,154.595,164.511,170.169,165.578,259.395,318.361,251.456,190.462,199.839,210.387,223.045,225.192,225.192,225.192
World,"Soybeans, Unit prices, US dollars per metric tonne",265.316,261.404,221.29,259.616,257.505,202.979,188.948,195.506,279.724,246.986,219.1,208.779,209.803,230.138,229.51,224.015,277.458,280.603,223.29,174.919,183.052,168.755,188.866,233.187,276.633,223.15,217.454,317.32,452.943,378.546,384.945,484.246,537.762,517.204,457.814,347.356,362.707,358.824,342.528,327.002,349.877,505.101,569.692,520.477,405.21,379.864,398.458,400.48,400.48,400.48,400.48
Advanced Economies,"Imports of goods and services, US dollar",,,,,,,,,,,,,,,,,4845.452,4981.716,5024.289,5514.621,6124.526,5893.063,6088.493,6980.044,8337.029,9301.743,10484.757,11846.09,13249.065,10426.965,12112.39,14142.817,14054.996,14276.028,14617.179,13125.382,12981.896,14139.749,15471.838,15300.68,13855.313,16837.305,19172.606,18735.254,19214.128,20309.7,20947.191,21571.803,22285.212,23072.16,23891.689
Advanced Economies,"Current account balance (credit less debit), Percent of GDP",-1.078,-0.657,-0.466,-0.374,-0.541,-0.561,-0.151,-0.298,-0.165,-0.342,-0.447,-0.146,-0.132,0.279,0.083,0.103,0.059,0.243,0.067,-0.356,-0.898,-0.88,-0.836,-0.765,-0.623,-1.099,-1.219,-1.003,-1.349,-0.204,0.041,-0.082,0.015,0.487,0.498,0.569,0.819,0.987,0.791,0.716,0.249,0.779,-0.45,-0.027,0.076,-0.077,0.055,0.083,0.067,0.037,0.111
